date,close,volume,open,high,low
2014/11/07,236.54,1912377,237.38,238.63,235.5
2014/11/06,236.9,2967127,238.25,239.064,233
2014/11/05,237.7,4533492,244,246,237.04
2014/11/04,241.96,3866582,235.085,242.14,235
2014/11/03,236.54,3514876,239.18,240.56,234.32
2014/10/31,238.77,6252771,240.14,242.62,238.65
2014/10/30,237.01,10591300,222.3,237.55,222
2014/10/29,224.55,7638456,227.37,227.75,219.61
2014/10/28,228.96,4628427,222.54,229.72,221.37
2014/10/27,219.92,3072542,220.51,223.35,219.18
2014/10/24,222.55,2976717,218.05,222.81,215.52
2014/10/23,217.03,3415835,220.2,222.5,216.52
2014/10/22,219.26,2500646,224.14,224.209,218.25
2014/10/21,222.35,3966781,218.08,223.95,218
2014/10/20,216.62,2545597,212.35,217.07,211.2
2014/10/17,211.73,4237737,214.22,217.47,210.4
2014/10/16,211.22,5817089,203.59,214.4,202.73
2014/10/15,205.73,5924841,195.43,206.27,194.31
2014/10/14,199.07,4108426,202.31,203,196.65
2014/10/13,199.68,4117515,204.57,207.89,197.86
2014/10/10,203.35,5850698,211.54,214.99,201.63
2014/10/09,213,3464050,216.51,219.97,212.83
2014/10/08,217.54,3660676,215.42,217.98,211.55
2014/10/07,215.63,3597098,216.2,221.99,214.61
2014/10/06,217.2,2156323,218,219.94,216.45
2014/10/03,216.45,2723285,216.18,218.55,215.29
2014/10/02,214.8,3951336,212.59,216.94,207.1
2014/10/01,212.03,3831978,218,218.19,209.5
2014/09/30,218.23,3035624,221.42,222.3717,216.76
2014/09/29,220.47,3231686,219.42,222.54,217.05
2014/09/26,219.02,2299720,217.77,219.9,217.11
2014/09/25,217.55,3290642,221.14,222,215.44
2014/09/24,221.97,3135875,217.7,223.05,215.66
2014/09/23,214.79,3451673,213.7,219,212.29
2014/09/22,214.86,4671733,222.31,223.69,213.01
2014/09/19,224.93,6403139,229.92,231.41,222.7521
2014/09/18,228.45,4609554,220.71,228.59,219.85
2014/09/17,219.08,3330525,217.37,219.81,215
2014/09/16,215.57,4111424,210,216.94,208.9
2014/09/15,210.73,3499761,218.11,218.68,208.35
2014/09/12,217.96,2290087,219.41,221.25,216.5
2014/09/11,220.02,1561816,219.79,221.449,218.33
2014/09/10,220.68,2426220,220.41,221.4897,217.65
2014/09/09,221.23,2284786,225.5,228.46,219.57
2014/09/08,225.46,2313396,225.8,229.62,224
2014/09/05,226.7,1818638,224.48,227,222.45
2014/09/04,224.2,3018875,228.96,230.56,223.63
2014/09/03,227.45,4633472,227.5,231.4,224
2014/09/02,224.8,5135820,215.27,225,215
2014/08/29,214.52,1453905,214.56,215.19,213.04
2014/08/28,213.81,2595602,214.5,214.74,211.2616
2014/08/27,215.46,1022654,216.47,217.8,215.11
2014/08/26,216.08,1855509,217.98,218.4995,215.81
2014/08/25,216.8,2029206,214.49,218.71,214.49
2014/08/22,214.19,1870167,216.8,216.8,213.6
2014/08/21,216.84,2456043,218.52,220.48,215.02
2014/08/20,219.02,1410380,217.96,219.5,215.43
2014/08/19,218.21,1743475,219.42,220,216.581
